X - coordinate,Y - coordinate,Time
23.91465333,8.602153333,1.74
24.04586377,8.557863773,1.75
24.17680374,8.512303744,1.76
24.30746971,8.465469712,1.77
24.43785814,8.41735814,1.78
24.56796549,8.367965493,1.79
24.69778824,8.317288236,1.8
24.82732283,8.265322832,1.81
24.95656575,8.212065747,1.82
25.08551345,8.157513445,1.83
25.21416239,8.101662391,1.84
25.34250905,8.044509048,1.85
25.47054988,7.986049881,1.86
25.59828136,7.926281356,1.87
25.72569994,7.865199935,1.88
25.85280208,7.802802085,1.89
25.97958427,7.739084268,1.9
26.10604295,7.67404295,1.91
26.2321746,7.607674595,1.92
26.35797567,7.539975668,1.93
26.48344263,7.470942633,1.94
26.60857195,7.400571954,1.95
26.7333601,7.328860097,1.96
26.85780352,7.255803525,1.97
26.9818987,7.181398702,1.98
27.10564209,7.105642094,1.99
27.22903017,7.028530165,2
27.35205938,6.95005938,2.01
27.4747262,6.870226202,2.02
27.5970271,6.789027096,2.03
27.71895853,6.706458527,2.04
27.84051696,6.622516959,2.05
27.96169886,6.537198857,2.06
28.08250068,6.450500684,2.07
28.20291891,6.362418907,2.08
28.32294999,6.272949988,2.09
28.44259039,6.182090393,2.1
28.56183659,6.089836586,2.11
28.68068503,5.996185032,2.12
28.79913219,5.901132194,2.13
28.91717454,5.804674538,2.14
29.03480853,5.706808527,2.15
29.15203063,5.607530627,2.16
29.2688373,5.506837301,2.17
29.38522502,5.404725015,2.18
29.50119023,5.301190233,2.19
29.61672942,5.196229418,2.2
29.73183904,5.089839037,2.21
29.84651555,4.982015552,2.22
29.96075543,4.872755429,2.23
30.07455513,4.762055132,2.24
30.18791113,4.649911125,2.25
30.30081987,4.536319874,2.26
30.41327784,4.421277842,2.27
30.52528149,4.304781493,2.28
30.63682729,4.186827294,2.29
30.74791171,4.067411707,2.3
30.8585312,3.946531197,2.31
30.96868223,3.824182229,2.32
31.07836127,3.700361267,2.33
31.18756478,3.575064776,2.34
31.29628922,3.44828922,2.35
31.40453106,3.320031064,2.36
31.51228677,3.190286771,2.37
31.61955281,3.059052808,2.38
31.72632564,2.926325637,2.39
31.83260172,2.792101724,2.4
31.93837753,2.656377533,2.41
32.04364953,2.519149528,2.42
32.14841417,2.380414174,2.43
32.25266794,2.240167935,2.44
32.35640728,2.098407276,2.45
32.45962866,1.955128662,2.46
32.56232856,1.810328556,2.47
32.66450342,1.664003424,2.48
32.76614973,1.516149729,2.49
32.86726394,1.366763936,2.5
32.96784251,1.21584251,2.51
33.06788192,1.063381915,2.52
33.16737862,0.909378616,2.53
33.26632908,0.753829076,2.54
33.36472976,0.596729761,2.55
33.46257714,0.438077135,2.56
33.55986766,0.277867663,2.57
33.65659781,0.116097808,2.58
33.75276404,-0.047235964,2.59
