X - coordinate,Y - coordinate,Time
0.070710678,0.070210678,0
0.141421356,0.139421356,0.01
0.212132034,0.207632034,0.02
0.282842712,0.274842712,0.03
0.353553391,0.341053391,0.04 
0.424264069,0.406264069,0.05
0.494974747,0.470474747,0.06
0.565685425,0.533685425,0.07
0.636396103,0.595896103,0.08
0.707106781,0.657106781,0.09
0.777817459,0.717317459,0.1
0.848528137,0.776528137,0.11
0.919238816,0.834738816,0.12
0.989949494,0.891949494,0.13
1.060660172,0.948160172,0.14
1.13137085,1.00337085,0.15
1.202081528,1.057581528,0.16
1.272792206,1.110792206,0.17
1.343502884,1.163002884,0.18
1.414213562,1.214213562,0.19
1.48492424,1.26442424,0.2
1.555634919,1.313634919,0.21
1.626345597,1.361845597,0.22
1.697056275,1.409056275,0.23
1.767766953,1.455266953,0.24
1.838477631,1.500477631,0.25
1.909188309,1.544688309,0.26
1.979898987,1.587898987,0.27
2.050609665,1.630109665,0.28
2.121320344,1.671320344,0.29
2.192031022,1.711531022,0.3
2.2627417,1.7507417,0.31
2.333452378,1.788952378,0.32
2.404163056,1.826163056,0.33
2.474873734,1.862373734,0.34
2.545584412,1.897584412,0.35
2.61629509,1.93179509,0.36
2.687005769,1.965005769,0.37
2.757716447,1.997216447,0.38
2.828427125,2.028427125,0.39
2.899137803,2.058637803,0.4
2.969848481,2.087848481,0.41
3.040559159,2.116059159,0.42
3.111269837,2.143269837,0.43
3.181980515,2.169480515,0.44
3.252691193,2.194691193,0.45
3.323401872,2.218901872,0.46
3.39411255,2.24211255,0.47
3.464823228,2.264323228,0.48
3.535533906,2.285533906,0.49
3.606244584,2.305744584,0.5
3.676955262,2.324955262,0.51
3.74766594,2.34316594,0.52
3.818376618,2.360376618,0.53
3.889087297,2.376587297,0.54
3.959797975,2.391797975,0.55
4.030508653,2.406008653,0.56
4.101219331,2.419219331,0.57
4.171930009,2.431430009,0.58
4.242640687,2.442640687,0.59
4.313351365,2.452851365,0.6
4.384062043,2.462062043,0.61
4.454772721,2.470272721,0.62
4.5254834,2.4774834,0.63
4.596194078,2.483694078,0.64
4.666904756,2.488904756,0.65
4.737615434,2.493115434,0.66
4.808326112,2.496326112,0.67
4.87903679,2.49853679,0.68
4.949747468,2.499747468,0.69
5.020458146,2.499958146,0.7
5.091168825,2.499168825,0.71
5.161879503,2.497379503,0.72
5.232590181,2.494590181,0.73
5.303300859,2.490800859,0.74
5.374011537,2.486011537,0.75
5.444722215,2.480222215,0.76
5.515432893,2.473432893,0.77
5.586143571,2.465643571,0.78
5.656854249,2.456854249,0.79
5.727564928,2.447064928,0.8
5.798275606,2.436275606,0.81
5.868986284,2.424486284,0.82
5.939696962,2.411696962,0.83
6.01040764,2.39790764,0.84
6.081118318,2.383118318,0.85
6.151828996,2.367328996,0.86
6.222539674,2.350539674,0.87
6.293250353,2.332750353,0.88
6.363961031,2.313961031,0.89
6.434671709,2.294171709,0.9
6.505382387,2.273382387,0.91
6.576093065,2.251593065,0.92
6.646803743,2.228803743,0.93
6.717514421,2.205014421,0.94
6.788225099,2.180225099,0.95
6.858935778,2.154435778,0.96
6.929646456,2.127646456,0.97
7.000357134,2.099857134,0.98
7.071067812,2.071067812,0.99
7.14177849,2.04127849,1
7.212489168,2.010489168,1.01
7.283199846,1.978699846,1.02
7.353910524,1.945910524,1.03
7.424621202,1.912121202,1.04
7.495331881,1.877331881,1.05
7.566042559,1.841542559,1.06
7.636753237,1.804753237,1.07
7.707463915,1.766963915,1.08
7.778174593,1.728174593,1.09
7.848885271,1.688385271,1.1
7.919595949,1.647595949,1.11
7.990306627,1.605806627,1.12
8.061017306,1.563017306,1.13
8.131727984,1.519227984,1.14
8.202438662,1.474438662,1.15
8.27314934,1.42864934,1.16
8.343860018,1.381860018,1.17
8.414570696,1.334070696,1.18
8.485281374,1.285281374,1.19
8.555992052,1.235492052,1.2
8.62670273,1.18470273,1.21
8.697413409,1.132913409,1.22
8.768124087,1.080124087,1.23
8.838834765,1.026334765,1.24
8.909545443,0.971545443,1.25
8.980256121,0.915756121,1.26
9.050966799,0.858966799,1.27
9.121677477,0.801177477,1.28
9.192388155,0.742388155,1.29
9.263098834,0.682598834,1.3
9.333809512,0.621809512,1.31
9.40452019,0.56002019,1.32
9.475230868,0.497230868,1.33
9.545941546,0.433441546,1.34
9.616652224,0.368652224,1.35
9.687362902,0.302862902,1.36
9.75807358,0.23607358,1.37
9.828784258,0.168284258,1.38
9.899494937,0.099494937,1.39
9.970205615,0.029705615,1.4
10.04091629,-0.041083707,1.41
