X - coordinate,Y - coordinate,Time
0.078718353,0.078218353,0
0.157488944,0.155488944,0.01
0.236311241,0.231811241,0.02
0.315184716,0.307184716,0.03
0.394108837,0.381608837,0.04
0.473083074,0.455083074,0.05
0.552106898,0.527606898,0.06
0.631179776,0.599179776,0.07
0.71030118,0.66980118,0.08
0.789470579,0.739470579,0.09
0.868687442,0.808187442,0.1
0.94795124,0.87595124,0.11
1.027261441,0.942761441,0.12
1.106617516,1.008617516,0.13
1.186018935,1.073518935,0.14
1.265465166,1.137465166,0.15
1.344955679,1.200455679,0.16
1.424489945,1.262489945,0.17
1.504067433,1.323567433,0.18
1.583687612,1.383687612,0.19
1.663349953,1.442849953,0.2
1.743053925,1.501053925,0.21
1.822798997,1.558298997,0.22
1.902584639,1.614584639,0.23
1.982410321,1.669910321,0.24
2.062275513,1.724275513,0.25
2.142179684,1.777679684,0.26
2.222122304,1.830122304,0.27
2.302102843,1.881602843,0.28
2.38212077,1.93212077,0.29
2.462175555,1.981675555,0.3
2.542266667,2.030266667,0.31
2.622393577,2.077893577,0.32
2.702555754,2.124555754,0.33
2.782752667,2.170252667,0.34
2.862983787,2.214983787,0.35
2.943248582,2.258748582,0.36
3.023546524,2.301546524,0.37
3.10387708,2.34337708,0.38
3.184239722,2.384239722,0.39
3.264633918,2.424133918,0.4
3.345059138,2.463059138,0.41
3.425514852,2.501014852,0.42
3.506000531,2.538000531,0.43
3.586515642,2.574015642,0.44
3.667059656,2.609059656,0.45
3.747632043,2.643132043,0.46
3.828232273,2.676232273,0.47
3.908859814,2.708359814,0.48
3.989514137,2.739514137,0.49
4.070194711,2.769694711,0.5
4.150901007,2.798901007,0.51
4.231632493,2.827132493,0.52
4.312388639,2.854388639,0.53
4.393168916,2.880668916,0.54
4.473972792,2.905972792,0.55
4.554799737,2.930299737,0.56
4.635649222,2.953649222,0.57
4.716520715,2.976020715,0.58
4.797413687,2.997413687,0.59
4.878327606,3.017827606,0.6
4.959261944,3.037261944,0.61
5.040216168,3.055716168,0.62
5.12118975,3.07318975,0.63
5.202182159,3.089682159,0.64
5.283192863,3.105192863,0.65
5.364221334,3.119721334,0.66
5.445267041,3.133267041,0.67
5.526329453,3.145829453,0.68
5.60740804,3.15740804,0.69
5.688502272,3.168002272,0.7
5.769611618,3.177611618,0.71
5.850735548,3.186235548,0.72
5.931873533,3.193873533,0.73
6.01302504,3.20052504,0.74
6.094189541,3.206189541,0.75
6.175366504,3.210866504,0.76
6.2565554,3.2145554,0.77
6.337755698,3.217255698,0.78
6.418966867,3.218966867,0.79
6.500188378,3.219688378,0.8
6.5814197,3.2194197,0.81
6.662660303,3.218160303,0.82
6.743909657,3.215909657,0.83
6.82516723,3.21266723,0.84
6.906432494,3.208432494,0.85
6.987704916,3.203204916,0.86
7.068983968,3.196983968,0.87
7.150269119,3.189769119,0.88
7.231559838,3.181559838,0.89
7.312855595,3.172355595,0.9
7.39415586,3.16215586,0.91
7.475460103,3.150960103,0.92
7.556767793,3.138767793,0.93
7.638078399,3.125578399,0.94
7.719391392,3.111391392,0.95
7.800706241,3.096206241,0.96
7.882022416,3.080022416,0.97
7.963339387,3.062839387,0.98
8.044656622,3.044656622,0.99
8.125973593,3.025473593,1
8.207289768,3.005289768,1.01
8.288604617,2.984104617,1.02
8.36991761,2.96191761,1.03
8.451228217,2.938728217,1.04
8.532535906,2.914535906,1.05
8.613840149,2.889340149,1.06
8.695140414,2.863140414,1.07
8.776436171,2.835936171,1.08
8.85772689,2.80772689,1.09
8.939012041,2.778512041,1.1
9.020291093,2.748291093,1.11
9.101563516,2.717063516,1.12
9.182828779,2.684828779,1.13
9.264086352,2.651586352,1.14
9.345335706,2.617335706,1.15
9.426576309,2.582076309,1.16
9.507807631,2.545807631,1.17
9.589029142,2.508529142,1.18
9.670240312,2.470240312,1.19
9.751440609,2.430940609,1.2
9.832629505,2.390629505,1.21
9.913806469,2.349306469,1.22
9.994970969,2.306970969,1.23
10.07612248,2.263622477,1.24
10.15726046,2.219260461,1.25
10.23838439,2.173884391,1.26
10.31949374,2.127493737,1.27
10.40058797,2.080087969,1.28
10.48166656,2.031666556,1.29
10.56272897,1.982228968,1.3
10.64377467,1.931774675,1.31
10.72480315,1.880303146,1.32
10.80581385,1.827813851,1.33
10.88680626,1.774306259,1.34
10.96777984,1.719779841,1.35
11.04873407,1.664234066,1.36
11.1296684,1.607668403,1.37
11.21058232,1.550082322,1.38
11.29147529,1.491475294,1.39
11.37234679,1.431846787,1.4
11.45319627,1.371196272,1.41
11.53402322,1.309523217,1.42
11.61482709,1.246827093,1.43
11.69560737,1.18310737,1.44
11.77636352,1.118363516,1.45
11.857095,1.052595002,1.46
11.9378013,0.985801298,1.47
12.01848187,0.917981872,1.48
12.0991362,0.849136195,1.49
12.17976374,0.779263736,1.5
12.26036397,0.708363966,1.51
12.34093635,0.636436353,1.52
12.42148037,0.563480367,1.53
12.50199548,0.489495479,1.54
12.58248116,0.414481157,1.55
12.66293687,0.338436871,1.56
12.74336209,0.261362091,1.57
12.82375629,0.183256288,1.58
12.90411893,0.104118929,1.59
12.98444949,0.023949486,1.6
13.06474743,-0.057252573,1.61
