X - coordinate,Y - coordinate,Time
0.604555674,0.604055674,0
1.212593849,1.210593849,0.01
1.824079169,1.819579169,0.02
2.43897628,2.43097628,0.03
3.057249825,3.044749825,0.04
3.67886445,3.66086445,0.05
4.3037848,4.2792848,0.06
4.931975518,4.899975518,0.07
5.56340125,5.52290125,0.08
6.198026639,6.148026639,0.09
6.835816332,6.775316332,0.1
7.476734972,7.404734972,0.11
8.120747205,8.036247205,0.12
8.767817674,8.669817674,0.13
9.417911024,9.305411024,0.14
10.0709919,9.942991901,0.15
10.72702495,10.58252495,0.16
11.38597481,11.22397481,0.17
12.04780614,11.86730614,0.18
12.71248356,12.51248356,0.19
13.37997174,13.15947174,0.2
14.05023531,13.80823531,0.21
14.72323892,14.45873892,0.22
15.39894722,15.11094722,0.23
16.07732484,15.76482484,0.24
16.75833643,16.42033643,0.25
17.44194665,17.07744665,0.26
18.12812012,17.73612012,0.27
18.8168215,18.3963215,0.28
19.50801543,19.05801543,0.29
20.20166656,19.72116656,0.3
20.89773953,20.38573953,0.31
21.59619898,21.05169898,0.32
22.29700957,21.71900957,0.33
23.00013593,22.38763593,0.34
23.70554271,23.05754271,0.35
24.41319455,23.72869455,0.36
25.1230561,24.4010561,0.37
25.83509201,25.07459201,0.38
26.54926691,25.74926691,0.39
27.26554545,26.42504545,0.4
27.98389229,27.10189229,0.41
28.70427205,27.77977205,0.42
29.42664939,28.45864939,0.43
30.15098896,29.13848896,0.44
30.87725538,29.81925538,0.45
31.60541332,30.50091332,0.46
32.33542742,31.18342742,0.47
33.06726231,31.86676231,0.48
33.80088265,32.55088265,0.49
34.53625308,33.23575308,0.5
35.27333824,33.92133824,0.51
36.01210278,34.60760278,0.52
36.75251135,35.29451135,0.53
37.49452858,35.98202858,0.54
38.23811913,36.67011913,0.55
38.98324763,37.35874763,0.56
39.72987873,38.04787873,0.57
40.47797708,38.73747708,0.58
41.22750732,39.42750732,0.59
41.9784341,40.1179341,0.6
42.73072206,40.80872206,0.61
43.48433584,41.49983584,0.62
44.2392401,42.1912401,0.63
44.99539946,42.88289946,0.64
45.75277859,43.57477859,0.65
46.51134212,44.26684212,0.66
47.2710547,44.9590547,0.67
48.03188097,45.65138097,0.68
48.79378558,46.34378558,0.69
49.55673318,47.03623318,0.7
50.3206884,47.7286884,0.71
51.08561589,48.42111589,0.72
51.8514803,49.1134803,0.73
52.61824627,49.80574627,0.74
53.38587844,50.49787844,0.75
54.15434147,51.18984147,0.76
54.92359999,51.88159999,0.77
55.69361865,52.57311865,0.78
56.4643621,53.2643621,0.79
57.23579497,53.95529497,0.8
58.00788192,54.64588192,0.81
58.78058758,55.33608758,0.82
59.55387661,56.02587661,0.83
60.32771365,56.71521365,0.84
61.10206334,57.40406334,0.85
61.87689033,58.09239033,0.86
62.65215926,58.78015926,0.87
63.42783477,59.46733477,0.88
64.20388152,60.15388152,0.89
64.98026414,60.83976414,0.9
65.75694728,61.52494728,0.91
66.53389559,62.20939559,0.92
67.31107371,62.89307371,0.93
68.08844628,63.57594628,0.94
68.86597795,64.25797795,0.95
69.64363336,64.93913336,0.96
70.42137716,65.61937716,0.97
71.199174,66.298674,0.98
71.97698851,66.97698851,0.99
72.75478535,67.65428535,1
73.53252915,68.33052915,1.01
74.31018456,69.00568456,1.02
75.08771623,69.67971623,1.03
75.86508881,70.35258881,1.04
76.64226692,71.02426692,1.05
77.41921523,71.69471523,1.06
78.19589837,72.36389837,1.07
78.97228099,73.03178099,1.08
79.74832774,73.69832774,1.09
80.52400326,74.36350326,1.1
81.29927218,75.02727218,1.11
82.07409917,75.68959917,1.12
82.84844886,76.35044886,1.13
83.6222859,77.0097859,1.14
84.39557493,77.66757493,1.15
85.16828059,78.32378059,1.16
85.94036754,78.97836754,1.17
86.71180042,79.63130042,1.18
87.48254386,80.28254386,1.19
88.25256252,80.93206252,1.2
89.02182104,81.57982104,1.21
89.79028407,82.22578407,1.22
90.55791624,82.86991624,1.23
91.32468221,83.51218221,1.24
92.09054662,84.15254662,1.25
92.85547411,84.79097411,1.26
93.61942933,85.42742933,1.27
94.38237693,86.06187693,1.28
95.14428154,86.69428154,1.29
95.90510781,87.32460781,1.3
96.66482039,87.95282039,1.31
97.42338392,88.57888392,1.32
98.18076305,89.20276305,1.33
98.93692242,89.82442242,1.34
99.69182667,90.44382667,1.35
100.4454405,91.06094045,1.36
101.1977284,91.67572841,1.37
101.9486552,92.28815519,1.38
102.6981854,92.89818543,1.39
103.4462838,93.50578378,1.4
104.1929149,94.11091488,1.41
104.9380434,94.71354339,1.42
105.6816339,95.31363393,1.43
106.4236512,95.91115116,1.44
107.1640597,96.50605973,1.45
107.9028243,97.09832427,1.46
108.6399094,97.68790943,1.47
109.3752799,98.27477986,1.48
110.1089002,98.8589002,1.49
110.8407351,99.44023509,1.5
111.5707492,100.0187492,1.51
112.2989071,100.5944071,1.52
113.0251736,101.1671736,1.53
