X - coordinate,Y - coordinate,Time,,,
0.012377902,0.012372902,0,,,
0.024759335,0.024739335,0.001,,,
0.037144294,0.037099294,0.002,,33.74608648,9.373639543
0.049532776,0.049452776,0.003,,,
0.061924778,0.061799778,0.004,,,
0.074320296,0.074140296,0.005,,,
0.086719326,0.086474326,0.006,,,
0.099121866,0.098801866,0.007,,,
0.111527911,0.111122911,0.008,,,
0.123937458,0.123437458,0.009,,,
0.136350503,0.135745503,0.01,,,
0.148767043,0.148047043,0.011,,,
0.161187075,0.160342075,0.012,,,
0.173610594,0.172630594,0.013,,,
0.186037598,0.184912598,0.014,,,
0.198468082,0.197188082,0.015,,,
0.210902044,0.209457044,0.016,,,
0.223339479,0.221719479,0.017,,,
0.235780384,0.233975384,0.018,,,
0.248224756,0.246224756,0.019,,,
0.260672591,0.258467591,0.02,,,
0.273123886,0.270703886,0.021,,,
0.285578636,0.282933636,0.022,,,
0.298036839,0.295156839,0.023,,,
0.310498491,0.307373491,0.024,,,
0.322963588,0.319583588,0.025,,,
0.335432127,0.331787127,0.026,,,
0.347904105,0.343984105,0.027,,,
0.360379517,0.356174517,0.028,,,
0.37285836,0.36835836,0.029,,,
0.385340631,0.380535631,0.03,,,
0.397826327,0.392706327,0.031,,,
0.410315443,0.404870443,0.032,,,
0.422807976,0.417027976,0.033,,,
0.435303922,0.429178922,0.034,,,
0.447803279,0.441323279,0.035,,,
0.460306042,0.453461042,0.036,,,
0.472812208,0.465592208,0.037,,,
0.485321773,0.477716773,0.038,,,
0.497834734,0.489834734,0.039,,,
0.510351088,0.501946088,0.04,,,
0.522870831,0.514050831,0.041,,,
0.535393958,0.526148958,0.042,,,
0.547920468,0.538240468,0.043,,,
0.560450355,0.550325355,0.044,,,
0.572983618,0.562403618,0.045,,,
0.585520251,0.574475251,0.046,,,
0.598060252,0.586540252,0.047,,,
0.610603617,0.598598617,0.048,,,
0.623150343,0.610650343,0.049,,,
0.635700426,0.622695426,0.05,,,
0.648253862,0.634733862,0.051,,,
0.660810648,0.646765648,0.052,,,
0.67337078,0.65879078,0.053,,,
0.685934256,0.670809256,0.054,,,
0.69850107,0.68282107,0.055,,,
0.71107122,0.69482622,0.056,,,
0.723644703,0.706824703,0.057,,,
0.736221514,0.718816514,0.058,,,
0.748801651,0.730801651,0.059,,,
0.761385109,0.742780109,0.06,,,
0.773971885,0.754751885,0.061,,,
0.786561976,0.766716976,0.062,,,
0.799155378,0.778675378,0.063,,,
0.811752087,0.790627087,0.064,,,
0.8243521,0.8025721,0.065,,,
0.836955414,0.814510414,0.066,,,
0.849562024,0.826442024,0.067,,,
0.862171928,0.838366928,0.068,,,
0.874785122,0.850285122,0.069,,,
0.887401602,0.862196602,0.07,,,
0.900021364,0.874101364,0.071,,,
0.912644406,0.885999406,0.072,,,
0.925270724,0.897890724,0.073,,,
0.937900314,0.909775314,0.074,,,
0.950533172,0.921653172,0.075,,,
0.963169295,0.933524295,0.076,,,
0.97580868,0.94538868,0.077,,,
0.988451323,0.957246323,0.078,,,
1.001097221,0.969097221,0.079,,,
1.013746369,0.980941369,0.08,,,
1.026398765,0.992778765,0.081,,,
1.039054404,1.004609404,0.082,,,
